"","year","STATE","TOT_EMP","H_MEAN","A_MEAN","SELF_EMP","ALL_EMP"
"1",2004,"Alabama",50,9.04,18800,68,118
"2",2004,"Arizona",40,12.19,25350,55,95
"3",2004,"California",280,19.1,39730,384,664
"4",2004,"Florida",120,12.86,26750,164,284
"5",2004,"Georgia",190,15.42,32080,260,450
"6",2004,"Idaho",30,14.28,29700,41,71
"7",2004,"Illinois",190,10.2,21210,260,450
"8",2004,"Indiana",40,11.1,23090,55,95
"9",2004,"Kansas",40,12.26,25500,55,95
"10",2004,"Kentucky",NA,8.16,16970,NA,NA
"11",2004,"Maine",30,9.69,20150,41,71
"12",2004,"Maryland",70,17.08,35530,96,166
"13",2004,"Massachusetts",40,12.3,25590,55,95
"14",2004,"Michigan",50,14.65,30470,68,118
"15",2004,"Minnesota",110,14.9,30990,151,261
"16",2004,"Mississippi",30,11.85,24640,41,71
"17",2004,"Missouri",150,10.86,22580,205,355
"18",2004,"New Hampshire",30,15.26,31730,41,71
"19",2004,"New Jersey",70,17.27,35920,96,166
"20",2004,"New York",340,17.55,36490,466,806
"21",2004,"North Carolina",60,14.76,30710,82,142
"22",2004,"Ohio",370,9.86,20500,507,877
"23",2004,"Oklahoma",30,10.5,21830,41,71
"24",2004,"Oregon",70,10.2,21220,96,166
"25",2004,"Rhode Island",40,12.96,26960,55,95
"26",2004,"South Carolina",60,13.46,28000,82,142
"27",2004,"Tennessee",NA,11.5,23920,NA,NA
"28",2004,"Texas",180,13.44,27960,247,427
"29",2004,"Utah",60,11.84,24620,82,142
"30",2004,"Virginia",60,14.48,30120,82,142
"31",2004,"Wisconsin",100,14.79,30770,137,237
"32",2004,"Wyoming",40,10.43,21690,55,95
"33",2005,"Alabama",140,7.64,15890,192,332
"34",2005,"Arizona",NA,12.67,26350,NA,NA
"35",2005,"California",230,20.99,43670,315,545
"36",2005,"Colorado",160,11.77,24490,219,379
"37",2005,"Florida",NA,10.21,21240,NA,NA
"38",2005,"Georgia",150,15.03,31250,205,355
